"x" "t"
"1" 0.626684402032759 0
"2" 0.296252448554033 1
"3" 0.769058660737946 0
"4" 0.0244898435175842 1
"5" 0.714573474991725 0
"6" 0.474959794356758 0
"7" 0.62707664812998 0
"8" 0.880843302369509 1
"9" 0.819111980151353 0
"10" 0.818231289505384 0
"11" 0.72449869910706 1
"12" 0.328784938335487 0
"13" 0.953009141093029 1
"14" 0.905089880523468 0
"15" 0.921337263471819 1
"16" 0.941575511038391 0
"17" 0.789594650525169 0
"18" 0.750972518051064 1
"19" 0.212212139778566 0
"20" 0.992629207987319 0
"21" 0.637252045374014 0
"22" 0.858550107424096 1
"23" 0.650612869926039 1
"24" 0.8227394941499 1
"25" 0.577266142724775 0
"26" 0.637614654653994 1
"27" 0.859605720767712 1
"28" 0.389583912009156 0
"29" 0.888208153331574 1
"30" 0.868075176427953 1
"31" 0.783820672264921 0
"32" 0.49871935101644 1
"33" 0.888746475037845 1
"34" 0.0866670319178065 0
"35" 0.681772883839924 0
"36" 0.794893084166121 1
"37" 0.428487188518561 1
"38" 0.396925581285187 0
"39" 0.213890782821927 0
"40" 0.229540467181153 1
"41" 0.936848744868856 0
"42" 0.614856752536883 0
"43" 0.789708270811574 1
"44" 0.543101019771228 1
"45" 0.64696342902719 1
"46" 0.951209714809994 0
"47" 0.412475099115012 1
"48" 0.679779851451008 0
"49" 0.48565134236688 1
"50" 0.305353923962607 1
"51" 0.472611132044835 0
"52" 0.438274315467285 1
"53" 0.958687161623756 0
"54" 0.511788219690328 1
"55" 0.768735613485247 0
"56" 0.340159995766236 0
"57" 0.659324219058012 0
"58" 0.835582644553907 1
"59" 0.959013251244528 1
"60" 0.735007564836065 0
"61" 0.425120755046846 1
"62" 0.92728608185325 0
"63" 0.703861715307224 1
"64" 0.450746522201827 0
"65" 0.92370790389633 1
"66" 0.818730580575317 1
"67" 0.6621094394666 1
"68" 0.859575090459657 1
"69" 0.684156641124248 1
"70" 0.734777708293649 1
"71" 0.822114628264319 0
"72" 0.542229422522526 0
