"phi1" "phi2" "t"
"1" -0.46467861007858 -0.488446221922398 1
"2" -0.416703287549733 -0.610620188532076 1
"3" -0.302996226808064 0.791027866989328 1
"4" -0.323974902531295 0.0482495580119255 1
"5" -0.271044102299601 -0.630951487985602 1
"6" -0.255351984865951 -0.372781808683315 1
"7" -0.239391847113894 -0.392554846361219 1
"8" -0.201757392563805 0.280712088090033 1
"9" -0.147992560206551 0.585620777444921 1
"10" -0.158971983075294 1.14637415024125 1
"11" -0.0918734475441082 0.834336106138254 1
"12" -0.122288831013833 -0.355094410559049 1
"13" -0.0954457485966404 1.6504440371914 1
"14" -0.00979537819199934 0.572638205433458 1
"15" 0.0657674292379985 1.89815834375384 1
"16" 0.155052054382743 -0.560873513515674 1
"17" 0.285534877325016 0.682586012571439 1
"18" 0.323008903162737 -0.458918636067855 1
"19" 0.372330456823109 1.28506129170827 1
"20" 0.444559838459624 1.72754456266849 1
"21" 0.491668647063116 -0.379186339437702 1
"22" 0.631351562476573 -0.414295588601313 1
"23" 0.764301885887183 5.21834324406181 1
"24" 0.843213587443811 1.25822180015413 1
"25" 0.87241227602332 -0.268796027483583 1
"26" 1.2416275772642 1.92741862944571 1
"27" 1.45628163636473 -0.664685364357962 1
"28" 1.62927947429658 -0.698885848949103 1
"29" 1.78649795509564 -0.586067008690683 1
"30" 2.53961279355265 0.326789674483632 1
"31" 2.68609533041259 -0.428112677186133 1
"32" 7.33777501271952 4.51121032772375 1
"33" -0.178357128077798 0.741651148355059 1
"34" -0.472004965859714 -0.262528450237947 1
"35" -0.332298779226153 -0.251520794537554 1
"36" -0.346285950755225 -0.25143803020898 1
"37" -0.413738878543347 -0.428553693358163 1
"38" -0.384605834885165 -0.51156631491827 1
"39" -0.48135733498862 -0.593834057521208 1
"40" -0.214276846679081 -0.690088971653218 1
"41" -0.484667908131595 -0.357128077798469 1
"42" 0.259135112766398 -0.539044072004966 1
"43" -0.46119893941096 -0.750181637867924 0
"44" -0.454195858055766 -0.0737100077513643 0
"45" -0.438711631953295 -0.532192645802993 0
"46" -0.42783945619438 0.37251200482592 0
"47" -0.380611541425645 -0.200841872153102 0
"48" -0.397184313560855 -0.604505814244061 0
"49" -0.372275435715778 0.137607245919866 0
"50" -0.272707543048946 -0.477511572512247 0
"51" -0.306614129310267 -0.071668915697335 0
"52" -0.276655061668421 0.402803641630457 0
"53" -0.275838333678185 -0.253660042521674 0
"54" -0.148512534174694 0.182874167003252 0
"55" -0.0968150643739216 -0.494403507921419 0
"56" -0.0880563048754558 0.96190212375609 0
"57" -0.0528385932329832 0.597591204857373 0
"58" -0.0401287794960372 0.498722775483766 0
"59" 0.0366250895863882 -0.503671617532844 0
"60" 0.289404722814467 1.60736721535518 0
"61" 0.336896372663382 -0.666908937248047 0
"62" -0.11363542313263 0.114049244775502 0
"63" -0.3764121663563 -0.097413614732051 0
"64" -0.391392509828264 -0.0263190564866547 0
"65" -0.475481067659838 -0.0139871715290711 0
"66" -0.487316366645975 -0.167763294020278 0
"67" -0.274860335195531 -0.358369542727085 0
"68" -0.258224705152079 -0.547817090833851 0
"69" -0.328326091454583 -0.535567970204842 0
"70" -0.371446306641837 -0.45247258431616 0
"71" -0.287854334781709 -0.429298572315333 0
"72" -0.495013449203393 -0.617421891164908 0
"73" -0.493689219946203 -0.712104283054004 0
"74" -0.424084419615146 -0.688847506724602 0
"75" -0.381295261742189 -0.74827229464101 0
"76" -0.464059590316573 -0.830622801572523 0
"77" -0.174963790606249 -0.50097248086075 0
"78" -0.159983447134285 -0.572067039106146 0
"79" -0.213200910407614 0.232981584936892 0
"80" -0.420525553486447 0.0566935650734533 0
"81" -0.193420235878337 -0.181336643906477 0
"82" -0.305317608110904 -0.180674529277882 0
"83" -0.472336023174012 -0.238857852265674 0
"84" -0.417711566314918 -0.144506517690875 0
"85" -0.308131595282433 0.0205255534864468 0
"86" -0.510490378646803 -0.5108214359611 0
"87" -0.534988619904821 -0.759197186012829 0
"88" -0.313676805296917 -0.582991930477964 0
"89" -0.354479619284088 -0.6655907303952 0
"90" -0.344961721498034 -0.346120422098076 0
"91" -0.275522449824126 -0.311028346782538 0
"92" -0.249534450651769 -0.169170287606042 0
